Player,TEAM,AGE,GP,W,L,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM
Isaiah Whitehead,BKN,22,71,17,54,22.4,70.8,29.2,58.6,7.5,24.2,18.8,17.1,14.7,51.1,30.8,69.2,86,14,42.7,57.3
Ish Smith,DET,28,79,37,42,23.9,86.3,13.7,79.5,30.5,11.2,16.8,9.3,8.6,49,11.5,88.5,74.1,25.9,16.9,83.1
Ivica Zubac,LAL,20,38,8,30,16,98.7,1.3,88.7,14.8,0,6.3,11.3,9.9,73.9,80.2,19.8,0,0,80.2,19.8
J.J. Barea,DAL,32,34,11,23,21.9,57.4,42.6,47.3,17.9,40.8,5.2,12,15.5,29.3,17.2,82.8,42,58,26.3,73.7
Jabari Parker,MIL,22,51,22,29,33.9,78.1,21.9,65.2,12.9,19,18.9,15.8,15.5,52.3,59.9,40.1,98.5,1.5,66.2,33.8
Jae Crowder,BOS,26,70,46,24,32.5,45.4,54.6,35.4,10.5,46.6,11.7,18,16,24.9,75.6,24.4,94,6,84.2,15.8
Jahlil Okafor,PHI,21,50,15,35,22.7,100,0,82,8.1,0,4.7,18,14.9,73.9,42.6,57.4,0,0,42.6,57.4
Jake Layman,POR,23,33,15,18,5.5,34.4,65.6,28.1,9.4,51.6,18.8,20.3,14.1,18.8,66.7,33.3,100,0,85,15
Jakob Poeltl,TOR,21,53,37,16,11.4,100,0,81,2.5,0,5.1,19,15.2,78.5,70.3,29.7,0,0,70.3,29.7
Jamal Crawford,LAC,37,80,49,31,26.3,63.1,36.9,48.6,27.9,34.4,12.3,17,12.5,20.7,21.1,78.9,59.8,40.2,33.5,66.5
Jamal Murray,DEN,20,80,38,42,21.1,52.6,47.4,44.4,11.1,42.2,11.1,13.3,12.7,33.3,50,50,71.6,28.4,58.4,41.6
Jameer Nelson,DEN,35,75,34,41,27.3,54.8,45.2,47.2,18,46.3,11.9,6.6,11.9,29.1,32.7,67.3,72.6,27.4,48.5,51.5
James Ennis III,MEM,26,64,32,32,23.4,57.3,42.7,44.3,3.7,35.7,19.1,20,23.3,40.6,62.1,37.9,94.1,5.9,73.3,26.7
James Harden,HOU,27,79,53,26,36.5,51,49,35.2,5.6,33.2,13.7,31.6,15,29.6,9.3,90.7,30.5,69.5,17.5,82.5
James Johnson,MIA,30,74,38,36,27.2,66.8,33.2,57,8.4,27.2,9.5,15.7,14.3,48.6,30.4,69.6,93,7,45.5,54.5
James Jones,CLE,36,47,28,19,7.3,28.9,71.1,17.9,11.4,73.2,7.3,8.9,13.8,6.5,63.6,36.4,93.3,6.7,85.4,14.6
James Michael McAdoo,GSW,24,50,42,8,8.5,94.5,5.5,83.8,10.3,2.2,19.1,14,7.4,73.5,87.7,12.3,100,0,87.9,12.1
James Young,BOS,21,28,15,13,7.7,40.4,59.6,38.8,3,53.7,3,7.5,17.9,35.8,76.9,23.1,100,0,88,12
JaMychal Green,MEM,26,76,40,36,27.4,71.4,28.6,56.9,13.7,23.6,8.3,19.5,17.9,43.1,60,40,98.1,1.9,68.3,31.7
Jared Dudley,PHX,31,64,17,47,21.3,41.3,58.7,36.9,16.6,53.2,11.8,9.9,20.7,20.3,61.3,38.7,100,0,80.3,19.7
Jared Sullinger,TOR,25,11,2,9,10.7,61.7,38.3,64.9,16.2,24.3,0,10.8,21.6,48.6,83.3,16.7,66.7,33.3,80,20
Jarell Eddie,PHX,25,5,0,5,12.5,15.8,84.2,16.7,0,50,20.8,33.3,12.5,16.7,50,50,100,0,83.3,16.7
Jarell Martin,MEM,22,41,23,18,13.5,83,17,59.6,16.1,16.8,13.7,23.6,9.9,43.5,64.6,35.4,100,0,70.2,29.8
Jarnell Stokes,DEN,23,2,0,2,3.3,100,0,66.7,0,0,0,33.3,66.7,66.7,100,0,0,0,100,0
Jarrett Jack,NOP,33,2,1,1,16.5,66.7,33.3,66.7,33.3,0,66.7,33.3,0,33.3,50,50,0,0,50,50
Jarrod Uthoff,DAL,23,7,1,6,10.9,76.7,23.3,66.7,25,25,8.3,8.3,0,41.7,62.5,37.5,50,50,60,40
Jason Smith,WAS,31,72,44,28,14.4,76.3,23.7,64.7,40.4,27,3.4,8.3,10.7,24.3,85,15,100,0,88.2,11.8
Jason Terry,MIL,39,72,36,36,18.6,29.9,70.1,21.4,4.1,70.3,11,8.3,14.5,17.2,58.1,41.9,94.1,5.9,82.8,17.2
JaVale McGee,GSW,29,75,61,14,9.4,99,1,88,1.3,0,11.3,12,14.7,86.7,77.3,22.7,0,0,77.3,22.7
Jaylen Brown,BOS,20,76,48,28,17.1,68.1,31.9,56.2,6,26.9,20.7,16.9,23.3,50.2,63.1,36.9,95.6,4.4,71,29
Jeff Green,ORL,30,69,26,43,22.2,65.4,34.6,52.4,15.4,24.9,19,22.7,14.1,37,43.7,56.3,94.3,5.7,55.9,44.1
Jeff Teague,IND,28,80,40,40,32.4,72.2,27.8,49.7,10,21.9,10.9,28.4,13.4,39.7,9.6,90.4,60.7,39.3,21.2,78.8
Jeff Withey,UTA,27,50,32,18,8.5,99,1,75.5,4.2,0,4.9,24.5,10.5,71.3,59.3,40.7,0,0,59.3,40.7
Jerami Grant,OKC,23,78,42,36,19.1,64.4,35.6,49.8,5.3,29.4,15.1,20.8,15.6,44.5,66.3,33.7,97.6,2.4,75.2,24.8
Jeremy Lamb,CHA,24,60,27,33,18.2,70.3,29.7,60.7,20.4,21.1,8.4,18.2,13.9,40.4,34.7,65.3,75,25,42.3,57.7
Jeremy Lin,BKN,28,35,13,22,24.3,61.4,38.6,46.3,13.3,33.8,14.9,19.9,12.9,33,23.5,76.5,62.5,37.5,36.3,63.7
Jerian Grant,CHI,24,61,27,34,16,55.7,44.3,42,16.1,39.7,12.6,18.4,19,25.9,28.8,71.2,78.3,21.7,47.9,52.1
Jerryd Bayless,PHI,28,3,1,2,23.8,84.4,15.6,54.5,6.1,18.2,33.3,27.3,6.1,48.5,22.2,77.8,0,100,18.2,81.8
Jimmy Butler,CHI,27,74,38,36,37.1,80,20,52.6,20.2,15.2,17,32.1,16.4,32.5,36,64,63.3,36.7,40.4,59.6
JJ Redick,LAC,32,76,48,28,28.2,47.4,52.6,33,22.2,51.6,13.6,15.4,14.3,10.8,81,19,95.4,4.6,88.3,11.7
Joakim Noah,NYK,32,46,17,29,22.1,99.5,0.5,85.3,0.9,0,4.3,14.7,12.1,84.5,49.5,50.5,0,0,49.5,50.5
Jodie Meeks,ORL,29,34,13,21,20.7,47.1,52.9,29.8,12.1,50.5,13.3,19.7,14.6,17.8,76.6,23.4,92.5,7.5,85,15
Joe Harris,BKN,25,52,10,42,21.9,39,61,32.2,3.7,59.6,8.6,8.2,10.7,28.5,71,29,92.9,7.1,83.1,16.9
Joe Ingles,UTA,29,80,49,31,23.9,38.1,61.9,27.5,5,63.6,10.3,8.9,17.8,22.5,36.4,63.6,82.4,17.6,64.3,35.7
Joe Johnson,UTA,35,76,45,31,23.7,59.1,40.9,47.4,15.7,43.6,3.2,9,12.8,31.7,14.7,85.3,85,15,41.4,58.6
Joe Young,IND,24,33,18,15,4.1,68.1,31.9,61.8,32.4,22.1,19.1,16.2,27.9,29.4,23.8,76.2,40,60,26.9,73.1
Joel Anthony,SAS,34,19,15,4,6.4,100,0,80,8,0,16,20,24,72,80,20,0,0,80,20
Joel Bolomboy,UTA,23,11,7,4,3.4,76.9,23.1,70,0,15,15,15,25,70,85.7,14.3,100,0,87.5,12.5
Joel Embiid,PHI,23,31,13,18,25.4,77.2,22.8,52.3,13.7,17.2,5.9,30.5,13.2,38.6,53,47,97.2,2.8,61,39
Joffrey Lauvergne,CHI,25,68,39,29,14.2,70.9,29.1,60.9,6.5,26.7,11.6,12.4,16.7,54.4,69,31,100,0,76,24
John Henson,MIL,26,56,25,31,19.6,99.7,0.3,80.6,6.3,0,4.5,19.4,10.7,74.3,71.4,28.6,0,0,71.4,28.6
John Jenkins,PHX,26,4,0,4,3.2,60,40,28.6,28.6,42.9,71.4,28.6,0,0,100,0,100,0,100,0
John Lucas III,MIN,34,5,3,2,2.1,75,25,100,0,0,0,0,0,100,0,100,0,0,0,100
John Wall,WAS,26,78,48,30,36.4,81,19,61.8,18.9,14.8,25.6,23.4,17.9,42.9,14,86,62.9,37.1,20.7,79.3
Johnny O'Bryant III,CHA,23,11,4,7,7.3,80,20,63.2,10.5,23.7,10.5,13.2,18.4,52.6,83.3,16.7,100,0,86.7,13.3
Jon Leuer,DET,27,73,34,39,26.3,74.1,25.9,68.2,21.4,19.2,13.7,12.5,14,46.8,73.6,26.4,100,0,77.7,22.3
Jonas Jerebko,BOS,30,76,49,27,16,50.2,49.8,46.8,8.8,44.7,12.9,8.5,14.6,38,58,42,100,0,74.3,25.7
Jonas Valanciunas,TOR,24,79,49,30,26,99.9,0.1,81.4,14.2,0,3,18.6,11.9,67.2,61.3,38.7,0,0,61.3,38.7
Jonathan Gibson,DAL,29,17,4,13,13.6,52.6,47.4,37.7,17,42.5,15.1,19.8,13.2,20.8,30,70,80,20,51.4,48.6
Jonathon Simmons,SAS,27,76,60,16,18,75.4,24.6,60.3,13.5,19,19.4,20.7,20.9,46.8,50.3,49.7,100,0,59,41
Jordan Clarkson,LAL,24,80,25,55,29.2,67,33,59.8,14.8,28.9,14.7,11.3,16.9,45,25.4,74.6,77.9,22.1,38.1,61.9
Jordan Crawford,NOP,28,17,8,9,23.4,55.4,44.6,50.6,19.9,41.1,25.7,8.3,14.9,30.7,23,77,87.9,12.1,45.7,54.3
Jordan Farmar,SAC,30,2,1,1,17.7,25,75,0,0,100,0,0,0,0,0,0,75,25,75,25
Jordan Hill,MIN,29,7,2,5,6.7,100,0,83.3,33.3,0,0,16.7,33.3,50,20,80,0,0,20,80
Jordan McRae,CLE,26,37,26,11,10.4,66,34,49.7,22.4,33.5,9.9,16.8,10.6,27.3,37.5,62.5,94.4,5.6,55.2,44.8
Jordan Mickey,BOS,22,25,9,16,5.6,97.1,2.9,78.9,10.5,0,0,21.1,10.5,68.4,73.3,26.7,0,0,73.3,26.7
Jose Calderon,ATL,35,39,14,25,12.6,52.5,47.5,49.2,29.5,41.8,7.4,9,13.1,19.7,53.3,46.7,94.1,5.9,68.1,31.9
Josh Huestis,OKC,25,1,0,1,6.9,50,50,57.1,28.6,42.9,28.6,0,0,28.6,100,0,100,0,100,0
Josh McRoberts,MIA,30,22,6,16,17.3,73.7,26.3,57.9,16.8,36.4,0,5.6,14,41.1,51.6,48.4,92.3,7.7,63.6,36.4
Josh Richardson,MIA,23,51,21,30,30,55.9,44.1,46.7,19.8,41.6,11.7,11.7,17.4,26.9,35.6,64.4,92.9,7.1,56.9,43.1
JR Smith,CLE,31,39,25,14,28.8,23.1,76.9,15.7,6.4,81.3,14.9,2.9,16.9,9.3,33.3,66.7,95.7,4.3,81.7,18.3
Jrue Holiday,NOP,26,65,31,34,33,68.3,31.7,58.6,14.3,29.8,14.2,11.6,11.1,44.3,23.1,76.9,48,52,29.4,70.6
Juan Hernangomez,DEN,21,60,28,32,13,50,50,35.5,0.7,44.7,18.1,19.9,15.2,34.8,58,42,100,0,77.2,22.8
Julius Randle,LAL,22,72,23,49,29.1,91.7,8.3,73.6,7.6,5.4,18.3,21,17,66,48,52,94.1,5.9,50.1,49.9
Justin Anderson,PHI,23,73,24,49,16,55.7,44.3,48.4,1.6,33,13.8,18.6,20.4,46.8,52.9,47.1,94.5,5.5,65.9,34.1
Justin Hamilton,BKN,27,62,14,48,18.2,51.9,48.1,52.5,5.7,38.3,8.3,9.2,15.4,46.8,73,27,98.1,1.9,81.2,18.8
Justin Harper,PHI,27,3,1,2,10.4,41.7,58.3,50,33.3,50,25,0,25,16.7,100,0,100,0,100,0
Justin Holiday,NYK,28,81,30,51,20,49.2,50.8,43.3,17.4,46.8,10.2,9.9,14.3,25.9,75,25,97.9,2.1,84.6,15.4
Justise Winslow,MIA,21,18,4,14,34.7,84.4,15.6,74.5,15.3,10.7,17.3,14.8,21.9,59.2,39.7,60.3,100,0,45,55
Jusuf Nurkic,POR,22,65,34,31,21.4,99.8,0.2,81.9,5.4,0,8.9,18.1,15.7,76.4,60.5,39.5,0,0,60.5,39.5
Karl-Anthony Towns,MIN,21,80,31,49,36.9,81.6,18.4,68.2,12.1,14.3,5.8,17.5,13.5,56.1,59.4,40.6,95.8,4.2,63.8,36.2
Kawhi Leonard,SAS,25,72,54,18,33.7,70.3,29.7,51.5,23.4,23.4,14,25.1,17.3,28.1,38.9,61.1,78.6,21.4,48.2,51.8
Kay Felder,CLE,22,41,25,16,9.2,85.8,14.2,65.4,30.9,13,9.9,21.6,13.6,34.6,20.8,79.2,71.4,28.6,26.7,73.3
Kelly Olynyk,BOS,25,73,47,26,20.6,62,38,57.1,7.3,29.6,6.2,13.4,14.4,49.8,71.3,28.7,96.9,3.1,77.9,22.1
Kelly Oubre Jr.,WAS,21,77,46,31,20,55.7,44.3,52.2,10.8,33.5,24.8,14.3,25.3,41.4,54,46,98.1,1.9,67.2,32.8
Kemba Walker,CHA,26,79,36,43,34.7,58.5,41.5,44,13.3,39.3,10.1,16.6,14.6,30.7,20.1,79.9,51.3,48.8,31.7,68.3
Kenneth Faried,DEN,27,61,29,32,21.2,98.6,1.4,77.7,2.4,0,11.9,22.3,12.4,75.3,62.7,37.3,0,0,62.7,37.3
Kent Bazemore,ATL,27,72,38,34,27,63.4,36.6,50.9,17.9,34,18.5,15,21.9,33,52,48,84.4,15.6,62,38
Kentavious Caldwell-Pope,DET,24,74,33,41,33.4,53.3,46.7,41.7,19.6,43.7,20.5,14.6,19.6,22.1,52.6,47.4,77.9,22.1,63,37
Kevin Durant,GSW,28,60,50,10,33.5,69.9,30.1,55.9,15.8,22.3,22.6,21.9,18.6,40.1,56.9,43.1,81.3,18.8,62,38
Kevin Love,CLE,28,59,40,19,31.3,54.9,45.1,39,11.3,38.7,5.4,22.3,10.7,27.8,54.6,45.4,98.6,1.4,72.1,27.9
Kevin Seraphin,IND,27,47,21,26,11.2,98.9,1.1,94.7,29,0,1.9,5.3,11.1,65.7,64.3,35.7,0,0,64.3,35.7
Kevon Looney,GSW,21,53,44,9,8.4,91.6,8.4,80,0,4.4,8.1,15.6,16.3,80,83.3,16.7,100,0,83.9,16.1
Khris Middleton,MIL,25,28,18,10,30.5,69.4,30.6,50.6,25.3,29.9,5.1,19.5,20,25.3,49,51,90.2,9.8,60.7,39.3
KJ McDaniels,BKN,24,47,28,19,10,61.4,38.6,55.8,3.2,30,19.5,14.2,20,52.6,52.8,47.2,94.7,5.3,63.9,36.1
Klay Thompson,GSW,27,77,65,12,34.1,52.9,47.1,43.1,19.1,46.3,19,10.6,18,24,75.3,24.7,95.5,4.5,83.8,16.2
Kosta Koufos,SAC,28,71,27,44,20,99.7,0.3,91.9,2.1,0,5.3,8.1,11.5,89.8,72.7,27.3,0,0,72.7,27.3
Kris Dunn,MIN,23,76,30,46,16.9,76.1,23.9,64.8,26.3,22.4,15.7,12.8,21.4,38.4,27.5,72.5,66.7,33.3,34.8,65.2
Kris Humphries,ATL,32,54,30,24,12,75.6,24.4,53.4,15.4,21.9,11.3,24.7,14.2,38.1,68.2,31.8,100,0,75,25
Kristaps Porzingis,NYK,21,66,26,40,32.8,68.1,31.9,55.4,19.7,28.1,7.9,16.6,12.4,35.6,66.8,33.2,98.2,1.8,74.7,25.3
Kyle Anderson,SAS,23,70,53,17,14,81.1,18.9,63.8,13.8,18.1,9.1,18.1,21.1,50,60.8,39.2,100,0,67,33
Kyle Korver,CLE,36,65,33,32,26.3,30.2,69.8,22.8,17,71.7,8.5,5.5,13.1,5.8,92,8,97.5,2.5,95.7,4.3
Kyle Lowry,TOR,31,59,35,24,37.7,49.1,50.9,34.6,6.5,43.3,15.1,22.2,14.6,28.1,13.9,86.1,52.6,47.4,31.5,68.5
Kyle O'Quinn,NYK,27,78,28,50,15.6,96.1,3.9,86.4,23.2,0.6,5.3,13,12.6,63.1,66,34,100,0,66.2,33.8
Kyle Singler,OKC,28,30,14,16,11,52.3,47.7,60.9,2.9,26.1,27.5,13,10.1,58,57.1,42.9,100,0,66.7,33.3
Kyle Wiltjer,HOU,24,13,11,2,3.3,7.1,92.9,0,0,92.3,0,7.7,23.1,0,0,0,75,25,75,25
Kyrie Irving,CLE,25,72,47,25,35.1,68.9,31.1,54.4,21.6,29.2,9.7,16.4,10.7,32.8,22.3,77.7,53.1,46.9,30.4,69.6
Lamar Patterson,ATL,25,5,1,4,8.1,60,40,44.4,0,33.3,0,22.2,33.3,44.4,0,100,100,0,33.3,66.7
LaMarcus Aldridge,SAS,31,70,52,18,32.6,94.7,5.3,76.3,36.9,5.7,4.6,18,14.2,39.4,57.9,42.1,95.7,4.3,59.7,40.3
Lance Stephenson,IND,26,16,6,10,19.9,82.1,17.9,76.8,30.4,16.1,13.4,7.1,8,46.4,41.9,58.1,83.3,16.7,46.9,53.1
Lance Thomas,NYK,28,46,15,31,21,65.2,34.8,42.9,16,41.5,5.1,15.6,11.6,26.9,44.1,55.9,97.4,2.6,64.9,35.1
Langston Galloway,SAC,25,72,28,44,19.8,42.3,57.7,29.3,18,62.4,19.6,8.3,13.6,11.3,45.8,54.2,91.5,8.5,72.6,27.4
Larry Nance Jr.,LAL,24,61,20,41,22.6,90.9,9.1,81.1,17.2,5.6,14,13.3,20.7,63.9,74.7,25.3,100,0,75.8,24.2
Larry Sanders,CLE,28,4,2,2,2.6,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Lavoy Allen,IND,28,60,30,30,14.4,99.4,0.6,86.9,24,0,5.1,13.1,13.1,62.9,75,25,0,0,75,25
Leandro Barbosa,PHX,34,67,20,47,14.4,75,25,65.4,22.4,25.1,17.4,9.5,21.7,43,32.1,67.9,85.7,14.3,43,57
LeBron James,CLE,32,74,51,23,37.8,74.6,25.4,62.6,9.8,19,20.8,18.3,15.5,52.8,35.5,64.5,49.2,50.8,37.8,62.2
Lou Williams,HOU,30,80,33,47,24.6,55.5,44.5,37.5,7.5,34.4,15.9,28.1,12.5,30,24.5,75.5,59.9,40.1,37.9,62.1
Luc Mbah a Moute,LAC,30,78,47,31,22.2,70.7,29.3,61.1,15.8,26.4,16.3,12.5,18.2,45.3,79.9,20.1,97.5,2.5,83.8,16.2
Lucas Nogueira,TOR,24,56,33,23,19.2,93.5,6.5,79.1,1.6,3.6,11.9,17.4,18.6,77.5,78,22,100,0,78.6,21.4
Luis Scola,BKN,36,36,7,29,12.8,66.9,33.1,58.7,3.3,27.7,12,13.6,16.3,55.4,40.7,59.3,94.1,5.9,53.5,46.5
Luke Babbitt,MIA,27,68,35,33,15.7,25.3,74.7,16,8.6,80.6,2.2,3.4,10.8,7.4,61.5,38.5,96.6,3.4,88.5,11.5
Luol Deng,LAL,31,56,18,38,26.5,61.1,38.9,53.2,10.8,36,16.5,10.8,15.3,42.4,54.9,45.1,92.2,7.8,66.5,33.5
Malachi Richardson,SAC,21,22,9,13,9,58.8,41.2,50.6,30.4,30.4,6.3,19,7.6,20.3,65,35,75,25,67.9,32.1
Malcolm Brogdon,MIL,24,73,37,36,26.5,69.6,30.4,55.1,9.1,30.4,9.6,14.5,19,46.1,42.5,57.5,89.5,10.5,55.1,44.9
Malcolm Delaney,ATL,28,71,36,35,17.1,72.1,27.9,61.5,47.2,19.9,10.6,18.6,17.8,14.3,23.3,76.7,88,12,34.8,65.2
Malik Beasley,DEN,20,20,10,10,4.6,61.4,38.6,52,8,36,36,12,18,44,30.8,69.2,100,0,52.6,47.4
Manny Harris,DAL,27,4,1,3,6.2,86.7,13.3,75,0,0,0,25,37.5,75,33.3,66.7,0,0,33.3,66.7
Manu Ginobili,SAS,39,67,51,16,18.8,48.7,51.3,32.3,5.2,50.9,12.6,16.8,18.6,27.1,45.7,54.3,78.8,21.2,62.7,37.3
Marc Gasol,MEM,32,73,40,33,34.3,76.8,23.2,59.2,22.3,21.6,3.6,19.3,12.6,36.8,56.8,43.2,98.1,1.9,64.9,35.1
Marcelo Huertas,LAL,33,23,5,18,10.3,72.1,27.9,66.7,22.2,19,15.9,14.3,17.5,44.4,23.8,76.2,50,50,28,72
Marcin Gortat,WAS,33,80,48,32,31.4,99.7,0.3,88,10.2,0,4.4,12,14.8,77.8,72,28,0,0,72,28
Marco Belinelli,CHA,31,74,34,40,24,54,46,41.5,23.3,39.2,6.2,19.2,12.3,18.2,67.9,32.1,85.3,14.7,74.6,25.4
Marcus Georges-Hunt,ORL,23,3,1,2,8.7,60,40,25,0,37.5,0,37.5,0,25,100,0,100,0,100,0
Marcus Morris,DET,27,78,36,42,32.6,64.2,35.8,54.3,33.9,32.4,7.7,13.3,12,20.5,38,62,91.5,8.5,53.3,46.7
Marcus Smart,BOS,23,77,49,28,30.4,56,44,42.6,8.1,33.4,8.9,24,17.3,34.5,41.4,58.6,90.1,9.9,58.1,41.9
Marcus Thornton,WAS,29,33,15,18,17.4,61.9,38.1,51.1,14.6,38.4,6.4,10.5,13.7,36.5,48.2,51.8,75,25,57.1,42.9
Mario Hezonja,ORL,22,63,19,44,14.4,57,43,48.3,17.9,38.7,19.9,12.9,18.9,30.5,49.3,50.7,84.6,15.4,61.6,38.4
Markieff Morris,WAS,27,75,44,31,31.3,78,22,62.9,18.8,19.8,6.9,17.3,14.4,44.1,60.4,39.6,97.1,2.9,66.8,33.2
Marquese Chriss,PHX,19,81,24,57,21,64.4,35.6,56.4,6,28.7,17.5,14.9,18.7,50.3,65,35,98.6,1.4,73.6,26.4
Marreese Speights,LAC,29,80,49,31,15.6,49.7,50.3,39.7,6.8,43.2,6,17.1,10.7,32.8,66.9,33.1,98,2,80,20
Marshall Plumlee,NYK,24,20,5,15,7.2,100,0,69.2,0,0,26.9,30.8,30.8,69.2,66.7,33.3,0,0,66.7,33.3
Marvin Williams,CHA,30,74,32,42,30.5,49.6,50.4,40.9,7.4,43.7,9,15.4,14.3,33.5,71.3,28.7,97.5,2.5,82.3,17.7
Mason Plumlee,DEN,27,79,36,43,26.3,99,1,79,5.9,0,11.5,21,13.7,73.1,71.9,28.1,0,0,71.9,28.1
Matt Barnes,GSW,37,74,38,36,24,44.4,55.6,37.2,6.1,49.5,12.5,13.3,16.9,31.1,73.5,26.5,90.8,9.2,81.6,18.4
Matthew Dellavedova,MIL,26,75,38,37,26.2,59.7,40.3,44.8,11.5,40.9,5.1,14.3,11.5,33.2,30.5,69.5,85.9,14.1,51.5,48.5
Maurice Harkless,POR,23,76,38,38,29,68.6,31.4,63.3,3.4,26.8,16.1,10,19,59.8,62.7,37.3,100,0,70.9,29.1
Maurice Ndour,NYK,24,31,9,22,9.9,91.3,8.8,77.4,19.4,3.2,17.2,19.4,18.3,58.1,75,25,100,0,75.7,24.3
Metta World Peace,LAL,37,23,7,16,5.5,42.2,57.8,33.3,11.1,41.7,13.9,25,5.6,22.2,16.7,83.3,100,0,54.5,45.5
Meyers Leonard,POR,25,72,36,36,16,42.8,57.2,35.7,16.3,55.1,3.1,9.2,14.7,19.4,76.5,23.5,98.6,1.4,87.7,12.3
Michael Beasley,MIL,28,54,22,32,16.4,89.8,10.2,74.9,24.3,10,10.6,15.1,15.3,50.6,54.5,45.5,100,0,58.2,41.8
Michael Carter-Williams,CHI,25,43,23,20,19.2,79.1,20.9,64.8,13.7,15.4,16,19.8,13,51.2,42.1,57.9,93.3,6.7,49.1,50.9
Michael Gbinije,DET,24,9,7,2,3.5,60,40,50,0,0,50,50,0,50,0,100,0,0,0,100
Michael Kidd-Gilchrist,CHA,23,79,36,43,29.1,98.5,1.5,78.9,21.7,0.4,20.3,20.7,17.4,57.2,70.8,29.2,100,0,70.9,29.1
Mike Conley,MEM,29,68,35,33,33.4,58.5,41.5,41.4,13,36.2,11.3,22.4,15.1,28.4,26.6,73.4,55.6,44.4,37.3,62.7
Mike Dunleavy,ATL,36,51,33,18,15.8,39.7,60.3,29.5,7.6,58,6.4,12.5,20.1,22,76.9,23.1,96.1,3.9,87.8,12.2
Mike Miller,DEN,37,18,7,11,5.2,12.5,87.5,0,0,90,15,10,0,0,0,0,100,0,100,0
Mike Muscala,ATL,25,68,35,33,17.6,67.5,32.5,57.1,15.3,31.7,7.7,11.3,14.6,41.7,84,16,100,0,88.3,11.7
Mike Scott,ATL,28,18,7,11,10.8,54.2,45.8,57.8,13.3,26.7,15.6,15.6,15.6,44.4,76.9,23.1,75,25,76.5,23.5
Mike Tobey,CHA,22,2,0,2,12.6,100,0,100,0,0,0,0,0,100,0,100,0,0,0,100
Miles Plumlee,CHA,28,43,19,24,10.2,100,0,77.1,1.8,0,4.6,22.9,14.7,75.2,85.7,14.3,0,0,85.7,14.3
Mindaugas Kuzminskas,NYK,27,67,23,44,14.9,54.1,45.9,48.8,1.4,38.4,15,12.8,16.9,47.3,62.4,37.6,90.6,9.4,72.1,27.9
Mirza Teletovic,MIL,31,68,35,33,16.1,26.9,73.1,23,8.1,69.6,16.9,7.4,14.4,14.9,74.5,25.5,97.1,2.9,89.6,10.4
Monta Ellis,IND,31,72,37,35,27.1,75.6,24.4,64.6,21,20.5,16.9,14.8,19.7,43.6,32,68,88.4,11.6,41.9,58.1
Montrezl Harrell,HOU,23,57,39,18,18.1,98.2,1.8,84.8,4.3,0.6,14.8,14.6,19.3,80.5,78.8,21.2,0,100,78.4,21.6
Myles Turner,IND,21,79,40,39,31.4,86.5,13.5,68.8,25.2,10.6,5.4,20.7,13.6,43.6,81.8,18.2,97.5,2.5,83.3,16.7
Nemanja Bjelica,MIN,28,65,28,37,18.3,50.3,49.7,47.1,2.5,41.7,11.9,11.2,12.9,44.7,52.6,47.4,96.4,3.6,68.9,31.1
Nene,HOU,34,66,46,20,17.9,97.7,2.3,79.3,10.7,1.5,6.2,19.2,17,68.7,84,16,100,0,84.2,15.8
Nerlens Noel,DAL,23,49,23,26,20.5,99.7,0.3,82.4,8.4,0,13.3,17.6,23,74,73.9,26.1,0,0,73.9,26.1
Nick Collison,OKC,36,18,9,9,6.2,100,0,78.3,8.7,0,0,21.7,13,69.6,66.7,33.3,0,0,66.7,33.3
Nick Young,LAL,31,60,19,41,25.9,33.5,66.5,25.8,13.4,64.5,18.7,9.7,18,12.4,52.9,47.1,91.8,8.2,77.2,22.8
Nicolas Batum,CHA,28,75,35,40,34.4,58.2,41.8,44.1,22.5,34.9,6.6,21.1,14.6,21.5,46.1,53.9,86.6,13.4,60.1,39.9
Nicolas Brussino,DAL,24,52,17,35,8.8,35.2,64.8,33.8,13.8,55.4,6.2,10.8,12.3,20,59.1,40.9,100,0,80.4,19.6
Nicolas Laprovittola,SAS,27,18,15,3,9.7,42.6,57.4,33.9,3.4,50.8,18.6,15.3,32.2,30.5,30,70,100,0,65,35
Nik Stauskas,PHI,23,78,27,51,27.3,43.3,56.7,31.8,6,52.7,12.8,15.5,13.7,25.8,50,50,82.8,17.2,67.2,32.8
Nikola Jokic,DEN,22,71,35,36,27.9,83.7,16.3,73.9,14,11.1,5.7,14.9,8.3,59.9,56.6,43.4,95.5,4.5,60.2,39.8
Nikola Mirotic,CHI,26,68,35,33,24,39.6,60.4,34.8,7.5,51.7,12,13.5,14.5,27.3,68.8,31.2,96.8,3.2,82.7,17.3
Nikola Vucevic,ORL,26,73,26,47,28.9,92.8,7.2,84.4,35.3,5.6,3.5,10,13.1,49.1,61.2,38.8,100,0,62.9,37.1
Noah Vonleh,POR,21,72,37,35,16.5,92.1,7.9,73.9,13.9,6.9,2.6,19.1,8.3,60.1,60.7,39.3,85.7,14.3,62.2,37.8
Norman Powell,TOR,23,75,46,29,17.8,65.9,34.1,53.7,6.9,26,21.8,20.3,18.5,46.8,27.4,72.6,94.3,5.7,43.8,56.2
